iter	Passed	Remaining
0	23	23926
1	46	23248
2	69	22964
3	91	22853
4	114	22767
5	140	23238
6	171	24271
7	194	24152
8	218	24091
9	242	24018
10	267	24020
11	291	24009
12	316	24027
13	341	24039
14	366	24084
15	390	24043
16	415	24026
17	439	23993
18	464	23965
19	490	24044
20	517	24142
21	543	24160
22	569	24183
23	594	24164
24	619	24145
25	646	24208
26	671	24188
27	696	24169
28	722	24188
29	746	24145
30	773	24173
31	802	24261
32	830	24327
33	858	24384
34	887	24458
35	914	24482
36	958	24940
37	986	24971
38	1014	24987
39	1041	25001
40	1071	25061
41	1101	25130
42	1129	25133
43	1157	25139
44	1184	25145
45	1212	25139
46	1238	25119
47	1266	25118
48	1293	25104
49	1320	25096
50	1348	25088
51	1376	25092
52	1403	25082
53	1430	25060
54	1457	25048
55	1490	25131
56	1517	25098
57	1543	25067
58	1570	25055
59	1598	25036
60	1626	25038
61	1652	24996
62	1678	24966
63	1705	24940
64	1732	24923
65	1759	24906
66	1787	24892
67	1815	24886
68	1843	24867
69	1871	24859
70	1898	24834
71	1923	24797
72	1951	24779
73	1978	24757
74	2005	24735
75	2032	24710
76	2057	24668
77	2085	24650
78	2113	24642
79	2141	24632
80	2167	24594
81	2193	24560
82	2219	24523
83	2246	24499
84	2272	24465
85	2299	24438
86	2325	24400
87	2353	24395
88	2380	24366
89	2408	24350
90	2434	24322
91	2462	24304
92	2490	24285
93	2516	24256
94	2545	24249
95	2570	24209
96	2598	24192
97	2629	24201
98	2659	24206
99	2686	24181
100	2714	24158
101	2742	24143
102	2771	24138
103	2799	24120
104	2826	24095
105	2853	24067
106	2881	24045
107	2908	24023
108	2937	24011
109	2964	23988
110	2993	23976
111	3022	23961
112	3052	23962
113	3080	23944
114	3109	23926
115	3136	23900
116	3167	23904
117	3194	23876
118	3222	23857
119	3248	23821
120	3276	23802
121	3302	23768
122	3330	23747
123	3359	23731
124	3385	23696
125	3412	23670
126	3438	23638
127	3465	23610
128	3494	23596
129	3521	23564
130	3546	23528
131	3577	23526
132	3606	23511
133	3637	23505
134	3666	23494
135	3697	23491
136	3726	23472
137	3754	23449
138	3782	23430
139	3808	23396
140	3836	23373
141	3865	23353
142	3892	23329
143	3920	23304
144	3946	23267
145	3973	23242
146	4000	23213
147	4027	23183
148	4054	23157
149	4082	23136
150	4111	23115
151	4139	23093
152	4167	23071
153	4197	23061
154	4227	23045
155	4256	23029
156	4285	23012
157	4314	22992
158	4341	22961
159	4369	22937
160	4396	22910
161	4424	22885
162	4451	22858
163	4479	22836
164	4508	22816
165	4551	22869
166	4577	22832
167	4607	22817
168	4635	22795
169	4661	22761
170	4690	22738
171	4718	22713
172	4750	22709
173	4779	22686
174	4805	22656
175	4833	22628
176	4863	22611
177	4891	22586
178	4921	22570
179	4953	22565
180	4993	22594
181	5022	22575
182	5052	22557
183	5080	22531
184	5106	22496
185	5136	22477
186	5165	22455
187	5194	22436
188	5223	22415
189	5252	22390
190	5280	22368
191	5307	22333
192	5333	22302
193	5359	22265
194	5384	22229
195	5412	22201
196	5440	22174
197	5465	22137
198	5491	22104
199	5519	22076
200	5546	22047
201	5571	22012
202	5599	21986
203	5628	21960
204	5652	21921
205	5677	21882
206	5703	21850
207	5732	21829
208	5760	21803
209	5791	21786
210	5820	21765
211	5847	21736
212	5876	21712
213	5903	21683
214	5932	21660
215	5957	21624
216	5983	21591
217	6010	21561
218	6038	21533
219	6065	21506
220	6093	21478
